frequency,ecsFile,variable,value
120000,original,minorAxisAngleOffset,-0.0618
121000,original,minorAxisAngleOffset,-0.0688
122000,original,minorAxisAngleOffset,-0.0758
123000,original,minorAxisAngleOffset,-0.0764
124000,original,minorAxisAngleOffset,-0.0818
125000,original,minorAxisAngleOffset,-0.0892
126000,original,minorAxisAngleOffset,-0.0872
127000,original,minorAxisAngleOffset,-0.0833
128000,original,minorAxisAngleOffset,-0.0903
129000,original,minorAxisAngleOffset,-0.0991
130000,original,minorAxisAngleOffset,-0.0984
131000,original,minorAxisAngleOffset,-0.0974
138000,original,minorAxisAngleOffset,-0.1237
139000,original,minorAxisAngleOffset,-0.1275
140000,original,minorAxisAngleOffset,-0.1281
141000,original,minorAxisAngleOffset,-0.1262
142000,original,minorAxisAngleOffset,-0.1262
143000,original,minorAxisAngleOffset,-0.123
144000,original,minorAxisAngleOffset,-0.1167
145000,original,minorAxisAngleOffset,-0.1141
146000,original,minorAxisAngleOffset,-0.1133
147000,original,minorAxisAngleOffset,-0.1075
148000,original,minorAxisAngleOffset,-0.1024
149000,original,minorAxisAngleOffset,-0.1041
150000,original,minorAxisAngleOffset,-0.1061
151000,original,minorAxisAngleOffset,-0.1024
152000,original,minorAxisAngleOffset,-0.1008
153000,original,minorAxisAngleOffset,-0.1055
154000,original,minorAxisAngleOffset,-0.1082
155000,original,minorAxisAngleOffset,-0.1028
156000,original,minorAxisAngleOffset,-0.0966
157000,original,minorAxisAngleOffset,-0.0939
158000,original,minorAxisAngleOffset,-0.092
159000,original,minorAxisAngleOffset,-0.088
160000,original,minorAxisAngleOffset,-0.0836
161000,original,minorAxisAngleOffset,-0.0794
162000,original,minorAxisAngleOffset,-0.0752
163000,original,minorAxisAngleOffset,-0.0729
167000,original,minorAxisAngleOffset,-0.0788
168000,original,minorAxisAngleOffset,-0.086
169000,original,minorAxisAngleOffset,-0.0891
170000,original,minorAxisAngleOffset,-0.0905
176000,original,minorAxisAngleOffset,-0.2786
177000,original,minorAxisAngleOffset,-0.2856
178000,original,minorAxisAngleOffset,-0.3061
179000,original,minorAxisAngleOffset,-0.354
180000,original,minorAxisAngleOffset,-0.334
181000,original,minorAxisAngleOffset,-0.2574
182000,original,minorAxisAngleOffset,-0.2574
183000,original,minorAxisAngleOffset,-0.2897
184000,original,minorAxisAngleOffset,-0.2994
185000,original,minorAxisAngleOffset,-0.3004
186000,original,minorAxisAngleOffset,-0.3695
187000,original,minorAxisAngleOffset,-0.4988
188000,original,minorAxisAngleOffset,-0.5666
189000,original,minorAxisAngleOffset,-0.5045
190000,original,minorAxisAngleOffset,-0.4559
191000,original,minorAxisAngleOffset,-0.4693
192000,original,minorAxisAngleOffset,-0.4708
193000,original,minorAxisAngleOffset,-0.4169
194000,original,minorAxisAngleOffset,-0.3497
195000,original,minorAxisAngleOffset,-0.3019
196000,original,minorAxisAngleOffset,-0.258
197000,original,minorAxisAngleOffset,-0.2063
198000,original,minorAxisAngleOffset,-0.174
199000,original,minorAxisAngleOffset,-0.1813
200000,original,minorAxisAngleOffset,-0.1999
201000,original,minorAxisAngleOffset,-0.2001
202000,original,minorAxisAngleOffset,-0.1846
203000,original,minorAxisAngleOffset,-0.1751
204000,original,minorAxisAngleOffset,-0.1714
205000,original,minorAxisAngleOffset,-0.1684
206000,original,minorAxisAngleOffset,-0.1694
212000,original,minorAxisAngleOffset,-0.1996
213000,original,minorAxisAngleOffset,-0.1923
214000,original,minorAxisAngleOffset,-0.1906
215000,original,minorAxisAngleOffset,-0.1907
216000,original,minorAxisAngleOffset,-0.1872
217000,original,minorAxisAngleOffset,-0.1867
218000,original,minorAxisAngleOffset,-0.1914
219000,original,minorAxisAngleOffset,-0.1915
220000,original,minorAxisAngleOffset,-0.1853
221000,original,minorAxisAngleOffset,-0.1829
222000,original,minorAxisAngleOffset,-0.188
223000,original,minorAxisAngleOffset,-0.1962
224000,original,minorAxisAngleOffset,-0.2061
225000,original,minorAxisAngleOffset,-0.2114
226000,original,minorAxisAngleOffset,-0.2105
227000,original,minorAxisAngleOffset,-0.209
228000,original,minorAxisAngleOffset,-0.2106
229000,original,minorAxisAngleOffset,-0.2118
230000,original,minorAxisAngleOffset,-0.2081
231000,original,minorAxisAngleOffset,-0.2016
232000,original,minorAxisAngleOffset,-0.1942
233000,original,minorAxisAngleOffset,-0.1858
234000,original,minorAxisAngleOffset,-0.1801
235000,original,minorAxisAngleOffset,-0.1805
236000,original,minorAxisAngleOffset,-0.1827
237000,original,minorAxisAngleOffset,-0.1804
238000,original,minorAxisAngleOffset,-0.1758
239000,original,minorAxisAngleOffset,-0.1722
240000,original,minorAxisAngleOffset,-0.166
241000,original,minorAxisAngleOffset,-0.1551
247000,original,minorAxisAngleOffset,-0.1185
248000,original,minorAxisAngleOffset,-0.1062
249000,original,minorAxisAngleOffset,-0.0981
250000,original,minorAxisAngleOffset,-0.0916
251000,original,minorAxisAngleOffset,-0.0859
252000,original,minorAxisAngleOffset,-0.0827
253000,original,minorAxisAngleOffset,-0.0812
254000,original,minorAxisAngleOffset,-0.0789
255000,original,minorAxisAngleOffset,-0.0777
256000,original,minorAxisAngleOffset,-0.0782
257000,original,minorAxisAngleOffset,-0.0757
258000,original,minorAxisAngleOffset,-0.0766
259000,original,minorAxisAngleOffset,-0.1005
260000,original,minorAxisAngleOffset,-0.1189
45000,original,majorAxisAngleOffset,0.0523
46000,original,majorAxisAngleOffset,-0.0154
47000,original,majorAxisAngleOffset,-0.0668
48000,original,majorAxisAngleOffset,-0.084
49000,original,majorAxisAngleOffset,-0.0724
50000,original,majorAxisAngleOffset,-0.0566
51000,original,majorAxisAngleOffset,-0.0457
52000,original,majorAxisAngleOffset,-0.0386
53000,original,majorAxisAngleOffset,-0.0318
54000,original,majorAxisAngleOffset,-0.0208
55000,original,majorAxisAngleOffset,-0.0033
56000,original,majorAxisAngleOffset,0.0157
57000,original,majorAxisAngleOffset,0.0268
58000,original,majorAxisAngleOffset,0.0236
59000,original,majorAxisAngleOffset,0.0122
60000,original,majorAxisAngleOffset,0.0079
61000,original,majorAxisAngleOffset,0.0083
62000,original,majorAxisAngleOffset,0.0069
63000,original,majorAxisAngleOffset,0.0068
64000,original,majorAxisAngleOffset,0.0089
65000,original,majorAxisAngleOffset,0.0029
66000,original,majorAxisAngleOffset,-0.0103
67000,original,majorAxisAngleOffset,-0.0128
68000,original,majorAxisAngleOffset,-0.0078
69000,original,majorAxisAngleOffset,-0.0078
70000,original,majorAxisAngleOffset,-0.0158
71000,original,majorAxisAngleOffset,-0.0171
72000,original,majorAxisAngleOffset,-0.0121
73000,original,majorAxisAngleOffset,-0.0106
74000,original,majorAxisAngleOffset,-0.0129
75000,original,majorAxisAngleOffset,-0.0118
76000,original,majorAxisAngleOffset,-0.0053
77000,original,majorAxisAngleOffset,-0.0018
78000,original,majorAxisAngleOffset,-0.0007
79000,original,majorAxisAngleOffset,0.0018
80000,original,majorAxisAngleOffset,0.0046
81000,original,majorAxisAngleOffset,0.0063
82000,original,majorAxisAngleOffset,0.0078
83000,original,majorAxisAngleOffset,0.009
84000,original,majorAxisAngleOffset,0.0075
85000,original,majorAxisAngleOffset,0.0018
94000,original,majorAxisAngleOffset,-0.1794
95000,original,majorAxisAngleOffset,-0.1793
96000,original,majorAxisAngleOffset,-0.1729
97000,original,majorAxisAngleOffset,-0.1533
98000,original,majorAxisAngleOffset,-0.1133
99000,original,majorAxisAngleOffset,-0.0686
100000,original,majorAxisAngleOffset,-0.0854
101000,original,majorAxisAngleOffset,-0.1143
102000,original,majorAxisAngleOffset,-0.0995
103000,original,majorAxisAngleOffset,-0.0603
104000,original,majorAxisAngleOffset,-0.0541
105000,original,majorAxisAngleOffset,-0.0778
106000,original,majorAxisAngleOffset,-0.0827
107000,original,majorAxisAngleOffset,-0.0773
108000,original,majorAxisAngleOffset,-0.0795
109000,original,majorAxisAngleOffset,-0.0808
110000,original,majorAxisAngleOffset,-0.0645
111000,original,majorAxisAngleOffset,-0.0496
112000,original,majorAxisAngleOffset,-0.0564
113000,original,majorAxisAngleOffset,-0.0686
114000,original,majorAxisAngleOffset,-0.0649
118000,original,majorAxisAngleOffset,0.0038
119000,original,majorAxisAngleOffset,-0.0098
120000,original,majorAxisAngleOffset,-0.0067
121000,original,majorAxisAngleOffset,0.0059
122000,original,majorAxisAngleOffset,0.0064
123000,original,majorAxisAngleOffset,0.0033
124000,original,majorAxisAngleOffset,0.0106
125000,original,majorAxisAngleOffset,0.017
126000,original,majorAxisAngleOffset,0.0124
127000,original,majorAxisAngleOffset,0.0075
128000,original,majorAxisAngleOffset,0.0067
129000,original,majorAxisAngleOffset,0.0028
130000,original,majorAxisAngleOffset,-0.0041
